,Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,journal,acceptanceRate,timeToFirstDecision,publicationTime,subjectAreas,aut_valid,Rev1,AR,Time to first decision,Review time,Submission to acceptance,Acceptance to publication,Acceptance Rate
1130,Geriatric Nursing,0197-4572,1528-3984,2.7,Q1,GERONTOLOGY - SSCI (Q3); NURSING - SSCI (Q1),0.00321,2.35,Geriatric Nursing,17.65,2.6,4.3,['Gerontology'],True,18,17,9,42,64,,
1131,Geriatrics & Gerontology International,1444-1586,1447-0594,3.3,Q2,GERONTOLOGY - SSCI (Q2),0.00702,2.7,,,,,,,,,,,,,
1132,German Economic Review,1465-6485,1468-0475,1.1,Q4,ECONOMICS - SSCI (Q4),0.00079,2.1,,,,,,,,,,,,,
1133,German History,0266-3554,1477-089X,0.6,Q2,HISTORY - SSCI (Q2),0.00037,0.6,,,,,,,,,,,,,
1134,German Journal of Human Resource Management-Zeitschrift fur Personalforschung,2397-0022,2397-0030,3.8,Q2,"MANAGEMENT - SSCI (Q3); PSYCHOLOGY, APPLIED - SSCI (Q2)",0.00042,4.0,,,,,,,,,,,,,
1135,German Politics,0964-4008,1743-8993,1.4,Q3,POLITICAL SCIENCE - SSCI (Q3),0.00107,1.9,,,,,,,,,,,,,
1136,GERMAN STUDIES REVIEW,0149-7952,2164-8646,0.2,Q4,AREA STUDIES - SSCI (Q4),0.00018,1.0,,,,,,,,,,,,,
1137,GERONTOLOGIST,0016-9013,1758-5341,5.7,Q1,GERONTOLOGY - SSCI (Q1),0.01434,2.7,,,,,,,,,,,,,
1138,Gestion y Politica Publica,1405-1079,,0.6,Q4,PUBLIC ADMINISTRATION - SSCI (Q4),8e-05,2.8,,,,,,,,,,,,,
1139,Gesture,1568-1475,1569-9773,1.0,Q3,LINGUISTICS - SSCI (Q3),0.00041,1.2,,,,,,,,,,,,,
1140,GESUNDHEITSWESEN,0941-3790,1439-4421,1.1,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.0012,3.05,,,,,,,,,,,,,
1141,GIFTED CHILD QUARTERLY,0016-9862,1934-9041,3.1,Q1,"EDUCATION, SPECIAL - SSCI (Q1); PSYCHOLOGY, EDUCATIONAL - SSCI (Q2)",0.00075,2.3,,,,,,,,,,,,,
1142,Global Economic Review,1226-508X,1744-3873,1.7,Q3,ECONOMICS - SSCI (Q3),0.00037,2.1,,,,,,,,,,,,,
1143,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,0959-3780,1872-9495,8.9,Q1,ENVIRONMENTAL STUDIES - SSCI (Q1); GEOGRAPHY - SSCI (Q1),0.02349,2.8,,,,,,,,,,,,,
1144,Global Environmental Politics,1526-3800,1536-0091,4.8,Q1,ENVIRONMENTAL STUDIES - SSCI (Q2); INTERNATIONAL RELATIONS - SSCI (Q1); POLITICAL SCIENCE - SSCI (Q1),0.00215,2.3,,,,,,,,,,,,,
1145,Global Finance Journal,1044-0283,1873-5665,5.2,Q1,"BUSINESS, FINANCE - SSCI (Q1)",0.00108,2.8,Global Finance Journal,17.26,3.7,41.1,"['Finance', 'Economics and Econometrics']",True,25,17,6,63,157,5,
1146,GLOBAL GOVERNANCE,1075-2846,1942-6720,1.2,Q4,INTERNATIONAL RELATIONS - SSCI (Q4),0.00083,1.8,,,,,,,,,,,,,
1147,Global Health Action,,1654-9880,2.6,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00641,3.05,,,,,,,,,,,,,
1148,Global Health Promotion,1757-9759,1757-9767,2.0,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00132,3.05,,,,,,,,,,,,,
1149,Global Health-Science and Practice,2169-575X,2169-575X,4.0,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00364,3.05,,,,,,,,,,,,,
1150,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,1470-2266,1471-0374,2.4,Q1,ANTHROPOLOGY - SSCI (Q1); GEOGRAPHY - SSCI (Q2); SOCIOLOGY - SSCI (Q2),0.00184,1.9,,,,,,,,,,,,,
1151,Global Policy,1758-5880,1758-5899,1.9,Q2,INTERNATIONAL RELATIONS - SSCI (Q2); POLITICAL SCIENCE - SSCI (Q2),0.00391,1.85,,,,,,,,,,,,,
1152,Global Public Health,1744-1692,1744-1706,3.3,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00786,3.05,,,,,,,,,,,,,
1153,Global Strategy Journal,2042-5791,2042-5805,7.6,Q1,MANAGEMENT - SSCI (Q1),0.00294,4.8,,,,,,,,,,,,,
1154,Globalization and Health,,1744-8603,10.8,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.01019,3.05,,,,,,,,,,,,,
1155,Globalizations,1474-7731,1474-774X,2.5,Q2,"INTERNATIONAL RELATIONS - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2)",0.00465,1.85,,,,,,,,,,,,,
1156,Glossa-A Journal of General Linguistics,,2397-1835,1.0,Q3,LINGUISTICS - SSCI (Q3),0.00438,1.2,,,,,,,,,,,,,
1157,GLQ-A JOURNAL OF LESBIAN AND GAY STUDIES,1064-2684,1527-9375,0.7,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00121,1.9,,,,,,,,,,,,,
1158,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,0952-1895,1468-0491,2.9,Q2,POLITICAL SCIENCE - SSCI (Q2); PUBLIC ADMINISTRATION - SSCI (Q2),0.00385,2.35,,,,,,,,,,,,,
1159,GOVERNMENT AND OPPOSITION,0017-257X,1477-7053,2.8,Q2,POLITICAL SCIENCE - SSCI (Q2),0.00259,1.9,,,,,,,,,,,,,
1160,GOVERNMENT INFORMATION QUARTERLY,0740-624X,1872-9517,7.8,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1),0.00497,2.8,Government Information Quarterly,15.88,6.7,18.0,"['Sociology and Political Science', 'Library and Information Sciences', 'Law']",True,46,15,,,346,,
1161,GROUP & ORGANIZATION MANAGEMENT,1059-6011,1552-3993,4.8,Q1,"MANAGEMENT - SSCI (Q2); PSYCHOLOGY, APPLIED - SSCI (Q1)",0.00211,4.0,,,,,,,,,,,,,
1162,GROUP DECISION AND NEGOTIATION,0926-2644,1572-9907,3.0,Q2,"MANAGEMENT - SSCI (Q3); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2)",0.00115,3.35,,,,,,,,,,,,,
1163,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,1089-2699,1930-7802,3.1,Q2,"PSYCHOLOGY, SOCIAL - SSCI (Q2)",0.00078,2.7,,,,,,,,,,,,,
1164,GROUP PROCESSES & INTERGROUP RELATIONS,1368-4302,1461-7188,4.4,Q2,"PSYCHOLOGY, SOCIAL - SSCI (Q2)",0.00721,2.7,,,,,,,,,,,,,
1165,GROWTH AND CHANGE,0017-4815,1468-2257,3.2,Q2,DEVELOPMENT STUDIES - SSCI (Q2); REGIONAL & URBAN PLANNING - SSCI (Q2),0.00178,2.8,,,,,,,,,,,,,
1166,GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,0017-4947,2196-7989,0.2,Q4,"PSYCHOLOGY, CLINICAL - SSCI (Q4)",2e-05,2.8,,,,,,,,,,,,,
1167,HABITAT INTERNATIONAL,0197-3975,1873-5428,6.8,Q1,DEVELOPMENT STUDIES - SSCI (Q1); ENVIRONMENTAL STUDIES - SSCI (Q1); REGIONAL & URBAN PLANNING - SSCI (Q1); URBAN STUDIES - SSCI (Q1),0.00568,2.88,Habitat International,8.98,2.6,2.5,['Urban Studies'],True,18,8,5,131,199,13,
1168,Hacienda Publica Espanola-Review of Public Economics,0210-1173,2386-4176,0.7,Q4,ECONOMICS - SSCI (Q4),0.00016,2.1,,,,,,,,,,,,,
1169,Hague Journal on the Rule of Law,1876-4045,1876-4053,2.2,Q1,LAW - SSCI (Q1),0.00084,1.3,,,,,,,,,,,,,
1170,HAHR-Hispanic American Historical Review,0018-2168,1527-1900,0.5,Q3,HISTORY - SSCI (Q3),0.00061,0.6,,,,,,,,,,,,,
1171,Harm Reduction Journal,,1477-7517,4.4,Q1,SUBSTANCE ABUSE - SSCI (Q1),0.00571,3.4,,,,,,,,,,,,,
1172,HARVARD BUSINESS REVIEW,0017-8012,0017-8012,14.7,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.01607,4.8,,,,,,,,,,,,,
1173,HARVARD EDUCATIONAL REVIEW,0017-8055,1943-5045,1.7,Q3,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3),0.00177,2.4,,,,,,,,,,,,,
1174,HARVARD ENVIRONMENTAL LAW REVIEW,0147-8257,0147-8257,1.3,Q2,ENVIRONMENTAL STUDIES - SSCI (Q4); LAW - SSCI (Q2),0.00046,2.25,,,,,,,,,,,,,
1175,HARVARD JOURNAL OF LAW AND PUBLIC POLICY,0193-4872,0193-4872,0.6,Q4,LAW - SSCI (Q4),0.00032,1.3,,,,,,,,,,,,,
1176,HARVARD LAW REVIEW,0017-811X,2161-976X,3.4,Q1,LAW - SSCI (Q1),0.00667,1.3,,,,,,,,,,,,,
1177,HARVARD REVIEW OF PSYCHIATRY,1067-3229,1465-7309,3.8,Q2,PSYCHIATRY - SSCI (Q2),0.00273,3.35,,,,,,,,,,,,,
1178,HASTINGS CENTER REPORT,0093-0334,1552-146X,3.3,Q1,"ETHICS - SSCI (Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q2)",0.00304,1.9,,,,,,,,,,,,,
1179,HASTINGS LAW JOURNAL,0017-8322,0017-8322,0.5,Q4,LAW - SSCI (Q4),0.00064,1.3,,,,,,,,,,,,,
1180,HEALTH,1363-4593,1461-7196,2.1,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q3)",0.00191,2.63,,,,,,,,,,,,,
1181,HEALTH & PLACE,1353-8292,1873-2054,4.8,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.00983,3.05,Health and Place,10.75,2.3,5.1,"['Health social science', 'Sociology and Political Science', 'Life-span and Life-course Studies']",True,16,10,4,133,161,14,
1182,HEALTH & SOCIAL CARE IN THE COMMUNITY,0966-0410,1365-2524,2.4,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3); SOCIAL WORK - SSCI (Q2)",0.00908,2.42,,,,,,,,,,,,,
1183,HEALTH & SOCIAL WORK,0360-7283,1545-6854,1.5,Q4,SOCIAL WORK - SSCI (Q4),0.00074,1.8,,,,,,,,,,,,,
1184,HEALTH AFFAIRS,0278-2715,0278-2715,9.7,Q1,HEALTH POLICY & SERVICES - SSCI (Q1),0.04173,2.8,,,,,,,,,,,,,
1185,Health and Human Rights,,2150-4113,3.7,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00225,3.05,,,,,,,,,,,,,
1186,Health and Quality of Life Outcomes,,1477-7525,3.6,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.01232,2.8,,,,,,,,,,,,,
1187,HEALTH CARE ANALYSIS,1065-3058,1573-3394,1.9,Q2,"ETHICS - SSCI (Q2); HEALTH POLICY & SERVICES - SSCI (Q4); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q3)",0.00084,2.2,,,,,,,,,,,,,
1188,Health Care for Women International,0739-9332,1096-4665,1.4,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4); WOMENS STUDIES - SSCI (Q3)",0.00186,2.33,,,,,,,,,,,,,
1189,HEALTH CARE MANAGEMENT REVIEW,0361-6274,1550-5030,2.5,Q3,HEALTH POLICY & SERVICES - SSCI (Q3),0.00132,2.8,,,,,,,,,,,,,
1190,Health Care Management Science,1386-9620,1572-9389,3.6,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.00165,2.8,,,,,,,,,,,,,
1191,HEALTH COMMUNICATION,1041-0236,1532-7027,3.9,Q1,COMMUNICATION - SSCI (Q1); HEALTH POLICY & SERVICES - SSCI (Q1),0.01203,2.7,,,,,,,,,,,,,
1192,HEALTH ECONOMICS,1057-9230,1099-1050,2.1,Q3,ECONOMICS - SSCI (Q3); HEALTH POLICY & SERVICES - SSCI (Q3),0.00865,2.45,,,,,,,,,,,,,
1193,Health Economics Policy and Law,1744-1331,1744-134X,1.7,Q4,HEALTH POLICY & SERVICES - SSCI (Q4),0.00106,2.8,,,,,,,,,,,,,
1194,Health Economics Review,2191-1991,2191-1991,2.4,Q2,ECONOMICS - SSCI (Q2); HEALTH POLICY & SERVICES - SSCI (Q3),0.00153,2.45,,,,,,,,,,,,,
1195,HEALTH EDUCATION & BEHAVIOR,1090-1981,1552-6127,4.2,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00629,3.05,,,,,,,,,,,,,
1196,HEALTH EDUCATION JOURNAL,0017-8969,1748-8176,1.3,Q4,"EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00128,2.72,,,,,,,,,,,,,
1197,HEALTH EDUCATION RESEARCH,0268-1153,1465-3648,2.4,Q2,"EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00124,2.72,,,,,,,,,,,,,
1198,HEALTH EXPECTATIONS,1369-6513,1369-7625,3.2,Q2,"HEALTH POLICY & SERVICES - SSCI (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00722,2.92,,,,,,,,,,,,,
1199,Health Information and Libraries Journal,1471-1834,1471-1842,3.8,Q2,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q2),0.00163,2.8,,,,,,,,,,,,,
1200,Health Information Management Journal,1833-3583,1833-3575,3.2,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.0007,2.8,,,,,,,,,,,,,
1201,HEALTH POLICY,0168-8510,1872-6054,3.3,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.00713,2.8,,,,,,,,,,,,,
1202,HEALTH POLICY AND PLANNING,0268-1080,1460-2237,3.2,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.00866,2.8,,,,,,,,,,,,,
1203,Health Policy and Technology,2211-8837,,6.0,Q1,HEALTH POLICY & SERVICES - SSCI (Q1),0.00228,2.8,Health Policy and Technology,17.0,8.3,8.8,"['Biomedical Engineering', 'Health Policy']",True,58,17,,263,314,6,17%
1204,HEALTH PROMOTION INTERNATIONAL,0957-4824,1460-2245,2.7,Q3,"HEALTH POLICY & SERVICES - SSCI (Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.0053,2.92,,,,,,,,,,,,,
1205,Health Promotion Journal of Australia,1036-1073,2201-1617,1.9,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00184,3.05,,,,,,,,,,,,,
1206,HEALTH PSYCHOLOGY,0278-6133,1930-7810,4.2,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q1)",0.00855,2.8,,,,,,,,,,,,,
1207,Health Psychology Review,1743-7199,1743-7202,9.8,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q1)",0.00337,2.8,,,,,,,,,,,,,
1208,Health Reports,0840-6529,1209-1367,5.0,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.00226,3.05,,,,,,,,,,,,,
1209,Health Research Policy and Systems,1478-4505,1478-4505,4.0,Q1,HEALTH POLICY & SERVICES - SSCI (Q1),0.00722,2.8,,,,,,,,,,,,,
1210,HEALTH RISK & SOCIETY,1369-8575,1469-8331,2.1,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q3)",0.00053,2.63,,,,,,,,,,,,,
1211,Health Security,2326-5094,2326-5108,3.3,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00184,3.05,,,,,,,,,,,,,
1212,HEALTH SERVICES RESEARCH,0017-9124,1475-6773,3.4,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.0133,2.8,,,,,,,,,,,,,
1213,Health Sociology Review,1446-1242,1839-3551,3.6,Q1,HEALTH POLICY & SERVICES - SSCI (Q2); SOCIOLOGY - SSCI (Q1),0.00106,2.45,,,,,,,,,,,,,
1214,Health Systems & Reform,2328-8604,2328-8620,4.1,Q1,"HEALTH POLICY & SERVICES - SSCI (Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00187,2.92,,,,,,,,,,,,,
1215,Healthcare,,2227-9032,2.8,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.01229,2.8,,,,,,,,,,,,,
1216,HealthCare-The Journal of Delivery Science and Innovation,2213-0764,2213-0772,2.5,Q3,HEALTH POLICY & SERVICES - SSCI (Q3),0.00191,2.8,Healthcare,9.27,5.3,2.7,['Health Policy'],True,37,9,,206,263,15,
1217,HEC Forum,0956-2737,1572-8498,1.5,Q3,ETHICS - SSCI (Q3),0.00069,1.6,,,,,,,,,,,,,
1218,HERD-Health Environments Research & Design Journal,1937-5867,2167-5112,2.2,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00104,3.05,,,,,,,,,,,,,
1219,Heroin Addiction and Related Clinical Problems,1592-1638,1592-1638,0.9,Q4,SUBSTANCE ABUSE - SSCI (Q4),9e-05,3.4,,,,,,,,,,,,,
1220,HIGH ABILITY STUDIES,1359-8139,1469-834X,1.8,Q3,"EDUCATION, SPECIAL - SSCI (Q3); PSYCHOLOGY, EDUCATIONAL - SSCI (Q4)",0.00026,2.3,,,,,,,,,,,,,
1221,HIGHER EDUCATION,0018-1560,1573-174X,5.0,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00916,2.4,,,,,,,,,,,,,
1222,Higher Education Policy,0952-8733,1740-3863,1.6,Q4,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4),0.00118,2.4,,,,,,,,,,,,,
1223,Higher Education Research & Development,0729-4360,1469-8366,3.2,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00604,2.4,,,,,,,,,,,,,
1224,HISPANIA-A JOURNAL DEVOTED TO THE TEACHING OF SPANISH AND PORTUGUESE,0018-2133,2153-6414,0.2,Q4,LINGUISTICS - SSCI (Q4),0.00041,1.2,,,,,,,,,,,,,
1225,HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,0739-9863,1552-6364,1.4,Q3,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3)",0.00059,2.4,,,,,,,,,,,,,
1226,Historia Agraria,1139-1472,2340-3659,0.7,Q2,HISTORY - SSCI (Q2),0.00057,0.6,,,,,,,,,,,,,
1227,Historia Critica,0121-1617,1900-6152,0.3,Q4,HISTORY - SSCI (Q4),0.00073,0.6,,,,,,,,,,,,,
1228,HISTORIA MATHEMATICA,0315-0860,1090-249X,0.5,Q3,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q3),0.00018,0.75,Historia Mathematica,14.63,6.6,47.0,"['Mathematics all', 'History']",True,46,14,,216,321,,
1229,Historia y Politica,1575-0361,1989-063X,0.4,Q3,HISTORY - SSCI (Q3); POLITICAL SCIENCE - SSCI (Q4),0.00103,1.25,,,,,,,,,,,,,
1230,HISTORICAL JOURNAL,0018-246X,1469-5103,0.8,Q1,HISTORY - SSCI (Q1),0.0025,0.6,,,,,,,,,,,,,
1231,Historical Materialism-Research in Critical Marxist Theory,1465-4466,1569-206X,0.6,Q4,POLITICAL SCIENCE - SSCI (Q4),0.00094,1.9,,,,,,,,,,,,,
1232,HISTORICAL METHODS,0161-5440,1940-1906,1.4,Q1,HISTORY - SSCI (Q1),0.00089,0.6,,,,,,,,,,,,,
1233,Historical Social Research-Historische Sozialforschung,0172-6404,,0.9,Q1,"HISTORY - SSCI (Q1); HISTORY OF SOCIAL SCIENCES - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00104,1.1,,,,,,,,,,,,,
1234,Historical Studies in the Natural Sciences,1939-1811,1939-182X,0.5,Q3,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q3),0.00023,0.75,,,,,,,,,,,,,
1235,HISTORIOGRAPHIA LINGUISTICA,0302-5160,1569-9781,0.1,Q4,LINGUISTICS - SSCI (Q4),0.00012,1.2,,,,,,,,,,,,,
1236,History and Anthropology,0275-7206,1477-2612,0.7,Q2,ANTHROPOLOGY - SSCI (Q3); HISTORY - SSCI (Q2),0.00118,0.9,,,,,,,,,,,,,
1237,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,0391-9714,1742-6316,2.0,Q1,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q1),0.00106,0.75,,,,,,,,,,,,,
1238,HISTORY AND THEORY,0018-2656,1468-2303,1.1,Q1,HISTORY - SSCI (Q1),0.00182,0.6,,,,,,,,,,,,,
1239,History of Education,0046-760X,1464-5130,0.5,Q4,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4); HISTORY OF SOCIAL SCIENCES - SSCI (Q4),0.00072,1.6,,,,,,,,,,,,,
1240,History of Geo- and Space Sciences,2190-5010,2190-5029,0.3,Q4,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q4),9e-05,0.75,,,,,,,,,,,,,
1241,HISTORY OF POLITICAL ECONOMY,0018-2702,1527-1919,0.7,Q3,ECONOMICS - SSCI (Q4); HISTORY OF SOCIAL SCIENCES - SSCI (Q3),0.00104,1.45,,,,,,,,,,,,,
1242,HISTORY OF PSYCHIATRY,0957-154X,1740-2360,0.6,Q3,HISTORY OF SOCIAL SCIENCES - SSCI (Q3); PSYCHIATRY - SSCI (Q4),0.00043,2.08,,,,,,,,,,,,,
1243,History of Psychology,1093-4510,1939-0610,0.5,Q4,"HISTORY OF SOCIAL SCIENCES - SSCI (Q4); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q4)",0.00043,1.6,,,,,,,,,,,,,
1244,HISTORY OF SCIENCE,0073-2753,1753-8564,0.5,Q3,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q3),0.00066,0.75,,,,,,,,,,,,,
1245,History of the Family,1081-602X,1873-5398,1.0,Q1,FAMILY STUDIES - SSCI (Q4); HISTORY OF SOCIAL SCIENCES - SSCI (Q1),0.00107,1.5,,,,,,,,,,,,,
1246,HISTORY OF THE HUMAN SCIENCES,0952-6951,1461-720X,0.9,Q2,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q2); HISTORY OF SOCIAL SCIENCES - SSCI (Q2),0.00144,0.78,,,,,,,,,,,,,
1247,HISTORY WORKSHOP JOURNAL,1363-3554,1477-4569,1.0,Q1,HISTORY - SSCI (Q1),0.00166,0.6,,,,,,,,,,,,,
1248,HITOTSUBASHI JOURNAL OF ECONOMICS,0018-280X,2436-097X,0.6,Q4,ECONOMICS - SSCI (Q4),7e-05,2.1,,,,,,,,,,,,,
1249,Holistic Nursing Practice,0887-9311,1550-5138,1.3,Q4,NURSING - SSCI (Q4),0.00053,2.0,,,,,,,,,,,,,
1250,Homicide Studies,1088-7679,1552-6720,1.5,Q3,CRIMINOLOGY & PENOLOGY - SSCI (Q3),0.00084,1.8,,,,,,,,,,,,,
1251,HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,0018-442X,1618-1301,0.6,Q3,ANTHROPOLOGY - SSCI (Q3),0.00029,1.2,,,,,,,,,,,,,
1252,Hong Kong Law Journal,0378-0600,,0.4,Q4,LAW - SSCI (Q4),0.00025,1.3,,,,,,,,,,,,,
1253,HOUSING POLICY DEBATE,1051-1482,2152-050X,2.9,Q2,DEVELOPMENT STUDIES - SSCI (Q2); URBAN STUDIES - SSCI (Q2),0.00274,2.6,,,,,,,,,,,,,
1254,HOUSING STUDIES,0267-3037,1466-1810,3.2,Q2,ENVIRONMENTAL STUDIES - SSCI (Q2); REGIONAL & URBAN PLANNING - SSCI (Q2); URBAN STUDIES - SSCI (Q2),0.00402,3.0,,,,,,,,,,,,,
1255,Housing Theory & Society,1403-6096,1651-2278,3.1,Q2,ENVIRONMENTAL STUDIES - SSCI (Q3); REGIONAL & URBAN PLANNING - SSCI (Q3); URBAN STUDIES - SSCI (Q2),0.00136,3.0,,,,,,,,,,,,,
1256,HUMAN COMMUNICATION RESEARCH,0360-3989,1468-2958,5.0,Q1,COMMUNICATION - SSCI (Q1),0.00226,2.6,,,,,,,,,,,,,
1257,HUMAN ECOLOGY,0300-7839,1572-9915,2.0,Q2,ANTHROPOLOGY - SSCI (Q2); ENVIRONMENTAL STUDIES - SSCI (Q4); SOCIOLOGY - SSCI (Q3),0.00194,2.17,,,,,,,,,,,,,
1258,Human Ecology Review,1074-4827,2204-0919,0.9,Q4,ENVIRONMENTAL STUDIES - SSCI (Q4); SOCIOLOGY - SSCI (Q4),0.00016,2.65,,,,,,,,,,,,,
1259,HUMAN FACTORS,0018-7208,1547-8181,3.3,Q2,"ERGONOMICS - SSCI (Q2); PSYCHOLOGY, APPLIED - SSCI (Q2)",0.00482,3.2,,,,,,,,,,,,,
1260,Human Factors and Ergonomics in Manufacturing & Service Industries,1090-8471,1520-6564,2.4,Q3,ERGONOMICS - SSCI (Q3),0.00076,3.2,,,,,,,,,,,,,
1261,HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646,2.1,Q3,"PSYCHOLOGY, EXPERIMENTAL - SSCI (Q3)",0.0041,2.4,Human Movement Science,11.85,3.2,1.7,"['Biophysics', 'Experimental and Cognitive Psychology', 'Orthopedics and Sports Medicine']",True,22,11,1 day,160,214,10,
1262,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,1045-6767,1936-4776,2.5,Q1,"ANTHROPOLOGY - SSCI (Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q2)",0.00122,1.7,,,,,,,,,,,,,
1263,HUMAN ORGANIZATION,0018-7259,1938-3525,0.8,Q3,"ANTHROPOLOGY - SSCI (Q3); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00059,1.55,,,,,,,,,,,,,
1264,HUMAN PERFORMANCE,0895-9285,1532-7043,2.2,Q3,"PSYCHOLOGY, APPLIED - SSCI (Q3)",0.00072,3.2,,,,,,,,,,,,,
1265,HUMAN RELATIONS,0018-7267,1741-282X,5.7,Q1,"MANAGEMENT - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1)",0.00957,3.35,,,,,,,,,,,,,
1266,Human Resource Development Quarterly,1044-8004,1532-1096,3.3,Q2,"INDUSTRIAL RELATIONS & LABOR - SSCI (Q2); MANAGEMENT - SSCI (Q3); PSYCHOLOGY, APPLIED - SSCI (Q2)",0.00116,3.53,,,,,,,,,,,,,
